Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.17576643228530883,0.00043717434083347947,0.020908714471087875,999.0,0.0,0.0,42386.0,0.0,0.0,0.0,0.0,0.0,0.0,31,31,0.005224580764770508,1.7480062779759464e-05,0.004180916499974553,1430.0,0.0,0.0,0.07854308366775513,0.00016425244119461127,0.01281610085769503,19000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.23813852310180664,0.0007473455930272849,0.027337622300179745,999.0,0.0,0.0,56072.88,64366.905599999984,253.70633732723348,0.0,0.0,0.0,0.0,31,31,0.013519413471221924,4.389559141083624e-05,0.006625374812856722,3340.9,698608.03,835.8277513937904,0.09368769884109497,0.0002546572205047767,0.015957982971064252,22510.0,249900.0,499.8999899979995
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.31773226022720336,0.0005914290135793807,0.024319313591863168,999.0,0.0,0.0,84448.04,354890.23840000003,595.7266473811626,0.0,0.0,0.0,0.0,31,31,0.015212478637695313,4.290170759659304e-05,0.006549939510911001,4326.76,704651.4223999999,839.4351805827534,0.10744034051895142,0.00019636171041312878,0.014012912274510562,28760.0,1282400.0,1132.4310133513652
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.7534647059440612,0.006851033791481832,0.0827709719133576,999.0,0.0,0.0,184612.62,3450285.6556000006,1857.4944564116472,0.0,0.0,0.0,0.0,31,31,0.019115986824035643,7.53197648005198e-05,0.008678696031116645,4654.78,1802069.9116,1342.411975363748,0.17443992137908937,0.0009391289028176517,0.030645210112147245,43210.0,13145900.0,3625.7275132033847
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.1887921667099,0.1153750971280438,0.3396690994601125,627.99,33290.9699,182.45813190976168,331858.96,8486968093.8784,92124.74202882958,319776.59574468085,6685875622.453602,81767.20383169282,0.94,31,31,0.013643949031829835,8.055776517796291e-05,0.008975397772687453,3868.9,4284501.870000001,2069.9038310994065,0.2105933427810669,0.0008101345600022114,0.028462862821617425,59750.0,33227500.0,5764.329969736292
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.5775405406951905,0.012845064346612388,0.11333606816284209,108.59,467.94190000000003,21.631964774379604,174100.66,1115098476.3244,33393.09024819955,173670.0,1114861100.0,33389.5357859315,1.0,31,31,0.005937790870666504,4.063588822020846e-05,0.0063746284770336585,1887.14,2879794.100400001,1696.9956100120003,0.321495943069458,0.003136662882451538,0.05600591828058476,97620.0,278275600.0,16681.594647994538
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.6151316142082215,0.02418085763969258,0.15550195381310353,111.74,859.1924,29.31198389737549,179624.14,2011334026.1804001,44847.89879337046,179220.0,2012031600.0,44855.67522621859,1.0,31,31,0.006782646179199219,4.378537009924913e-05,0.00661705146566423,2018.16,2384792.9344,1544.2774797295983,0.3388504004478455,0.0031672469495505257,0.05627829909965764,100000.0,234580000.0,15316.004700965588
Model-free Dijkstra,True,False,0.0024059438705444336,8.0684512131711e-06,0.002840501929795349,238.0,0.0,0.0,3615.0,0.0,0.0,836.0,0.0,0.0,1.0,31,31,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.014483318328857422,2.051738486820795e-05,0.004529611999742136,20.0,0.0,0.0,23059.0,0.0,0.0,20280.0,0.0,0.0,1.0,31,31,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.02211430072784424,1.486353114785288e-05,0.0038553250378992533,33.0,0.0,0.0,36241.0,0.0,0.0,33462.0,0.0,0.0,1.0,31,31,,,,,,,,,,,,
