Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0)",True,0.3651281356811523,0.00015505467687489726,0.012452095280509914,2999.0,0.0,0.0,112859.7,13503.61,116.20503431435318,0.0,0.0,0.0,0.0,31,4396,0.004233694076538086,2.3765825517330084e-07,0.0004875020565836629,1356.7,7223.009999999999,84.98829331149085,0.12808763980865479,2.7917968205315445e-05,0.0052837456605438005,39500.0,250000.0,500.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0)",True,0.344516396522522,8.914350387669855e-05,0.009441583758919823,2999.0,0.0,0.0,106654.6,10429.240000000002,102.12365054187987,0.0,0.0,0.0,0.0,31,31,0.0042658567428588865,1.6207333203510643e-07,0.0004025833230961094,1315.1,95.09,9.751410154434076,0.09044432640075684,1.981908557127099e-05,0.00445186315729392,28000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0)",True,0.3366427183151245,0.00015311086756867099,0.012373797621129537,2999.0,0.0,0.0,103423.9,7880.089999999999,88.76987101488882,0.0,0.0,0.0,0.0,31,31,0.004668688774108887,8.01659057856341e-07,0.0008953541521969622,1319.7,1017.01,31.890594224629933,0.07155749797821045,2.8252067255039035e-05,0.005315267373805295,21800.0,160000.0,400.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0)",True,0.33874711990356443,0.0002006967666397941,0.014166748626265453,2999.0,0.0,0.0,102853.2,21203.160000000003,145.6130488658211,0.0,0.0,0.0,0.0,31,33,0.004526329040527344,2.446382245580026e-07,0.0004946091634391771,1359.6,6870.24,82.8869109087798,0.06183040142059326,4.910522832801689e-06,0.0022159699530457737,19000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.25)",True,0.4620258569717407,0.00014276350488501066,0.011948368293830362,2999.0,0.0,0.0,144659.5,130603.85,361.39154666372593,0.0,0.0,0.0,0.0,31,31,0.006257414817810059,2.8111426587429377e-06,0.0016766462533113352,1902.5,170025.85,412.3419090997179,0.14020085334777832,4.0031843411725276e-05,0.006327072262249363,44000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.25)",True,0.44829158782958983,0.0003299053757677939,0.018163297491584338,2999.0,0.0,0.0,139438.5,122111.05,349.4439153855737,0.0,0.0,0.0,0.0,31,31,0.005686736106872559,7.076338926026437e-07,0.0008412097791886657,1768.3,64225.21,253.4269322704278,0.10182521343231202,3.721666324111083e-05,0.006100546142855641,31800.0,160000.0,400.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.25)",True,0.4378254175186157,0.00028216872059886103,0.016797878455294915,2999.0,0.0,0.0,137089.0,372905.0,610.6594795792496,0.0,0.0,0.0,0.0,31,31,0.005698609352111817,1.4515914250523565e-06,0.0012048200799506773,1725.5,79549.65,282.04547505677164,0.07958626747131348,5.2207466274012405e-05,0.007225473429057255,25000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.25)",True,0.44168059825897216,0.00012641317371219428,0.01124336131733719,2999.0,0.0,0.0,138299.0,162473.2,403.0796447353798,0.0,0.0,0.0,0.0,31,31,0.0057567119598388675,1.1190396003257772e-06,0.0010578466809163685,1687.1,76834.69000000002,277.190710522557,0.0711240291595459,1.7665551920345026e-05,0.004203040794513542,22200.0,160000.0,400.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",True,0.6573088884353637,0.00023852063205879402,0.015444113184601893,2999.0,0.0,0.0,212269.9,2405600.4899999998,1550.9998355899331,0.0,0.0,0.0,0.0,31,31,0.006067705154418945,4.1870482391459514e-07,0.000647074048246872,1903.4,37138.04,192.7123244631749,0.15939366817474365,5.2245008399154357e-05,0.007228070862903487,51000.0,400000.0,632.4555320336759,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.5)",True,0.6512139558792114,0.00033928192510813916,0.01841960708343528,2999.0,0.0,0.0,210603.8,1408761.1600000001,1186.912448329699,0.0,0.0,0.0,0.0,31,31,0.006207156181335449,2.7032567919604846e-06,0.0016441583840860602,2094.3,257071.01,507.021705649768,0.11666688919067383,1.556730595893896e-05,0.003945542543040052,37900.0,90000.0,300.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.5)",True,0.6588774681091308,0.00034835846048736124,0.018664363382857752,2999.0,0.0,0.0,211653.4,657287.44,810.7326563053939,0.0,0.0,0.0,0.0,31,31,0.0068192720413208004,3.489225280759456e-06,0.0018679468088678157,2121.1,132210.09,363.6070543870127,0.0955038070678711,1.3389572575306375e-05,0.0036591764886797105,31100.0,490000.0,700.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.5)",True,0.6666380882263183,0.0002159979034422577,0.014696867130183143,2999.0,0.0,0.0,215614.9,1372773.4899999998,1171.6541682595594,0.0,0.0,0.0,0.0,31,31,0.007523918151855468,3.4120472741960838e-06,0.0018471727786528482,2346.2,423878.16,651.0592599756185,0.0844644546508789,1.2509064881669475e-05,0.0035368156414590617,27700.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.75)",True,1.3285330533981323,0.0008420220269528045,0.029017615804073298,2999.0,0.0,0.0,437144.7,24316918.409999996,4931.218755034093,0.0,0.0,0.0,0.0,31,32,0.008252429962158202,1.0070950563658697e-05,0.0031734761010063866,2612.4,530125.8400000001,728.0974110653052,0.20138044357299806,0.00011852014223222795,0.010886695652594865,66000.0,2600000.0,1612.4515496597098,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.75)",True,1.378666353225708,0.0002694648731880989,0.016415385258595025,2999.0,0.0,0.0,456752.4,11587692.040000001,3404.0699229011148,0.0,0.0,0.0,0.0,31,31,0.009944653511047364,1.3600040511505541e-05,0.003687823275525217,3033.4,513568.43999999994,716.6368955056668,0.15101218223571777,3.111727917257667e-05,0.0055782864010891975,50200.0,960000.0,979.7958971132713,1.0
