Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0)",True,0.4704012155532837,0.001407249347938091,0.037513322272735204,2999.0,0.0,0.0,108154.7,4056.2100000000005,63.68838198604201,0.0,0.0,0.0,0.0,28,30,0.005039715766906738,9.957277739545134e-06,0.0031555154475212343,1090.2,1087.16,32.97210942599821,0.18092525005340576,0.00019197753971695876,0.013855595971193688,41700.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0)",True,0.3783283710479736,0.0004676746812583587,0.021625787413603204,2999.0,0.0,0.0,100711.1,9132.69,95.56510869559037,0.0,0.0,0.0,0.0,28,28,0.004144024848937988,9.490098824471717e-07,0.000974171382482144,1051.9,11159.09,105.63659403824036,0.11098690032958984,3.198783392463156e-05,0.0056557788079654924,30000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0)",True,0.37505943775177003,0.0006941261751313731,0.026346274407046115,2999.0,0.0,0.0,97116.1,494648.49000000005,703.3125123300453,0.0,0.0,0.0,0.0,28,28,0.003927755355834961,4.3751988187068487e-07,0.0006614528568769545,1040.1,22344.489999999998,149.48073454462283,0.09286410808563232,8.026988682615865e-05,0.008959346339223562,23000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0)",True,0.35929083824157715,0.0003454257971043262,0.018585634159326556,2999.0,0.0,0.0,96276.7,284370.81,533.264296573472,0.0,0.0,0.0,0.0,28,28,0.004202651977539063,1.0029555232904388e-06,0.0010014766713660576,1061.9,16679.29,129.1483255795444,0.07766878604888916,2.0658900237435773e-05,0.004545206292065936,21000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.25)",True,0.5143828630447388,0.0011068108060777603,0.033268766224159266,2999.0,0.0,0.0,139020.2,142288.75999999998,377.21182378075054,0.0,0.0,0.0,0.0,28,28,0.004958438873291016,3.4075026269420044e-06,0.0018459422057426403,1435.6,175116.63999999998,418.46940150983556,0.1725696802139282,0.0005317308540844579,0.023059289973554213,46000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.25)",True,0.4897978067398071,0.000534434884235111,0.0231178477422772,2999.0,0.0,0.0,131926.6,79486.24,281.93304169607364,0.0,0.0,0.0,0.0,28,30,0.004885149002075195,4.871594510404976e-06,0.002207168890321938,1257.3,120855.00999999998,347.64207167717774,0.12561559677124023,0.00013568017008083188,0.011648183123596223,33300.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.25)",True,0.4726508855819702,0.000939469163338913,0.030650761219567012,2999.0,0.0,0.0,128331.3,111084.41,333.2932792601735,0.0,0.0,0.0,0.0,28,28,0.005158352851867676,4.879613039179276e-06,0.0022089846172346416,1313.9,126710.09,355.9636076904492,0.09488263130187988,9.385955856942018e-06,0.0030636507400390823,26600.0,240000.0,489.89794855663564,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.25)",True,0.4619028329849243,0.000539827964899473,0.023234198176383728,2999.0,0.0,0.0,127306.0,126450.0,355.59808773389096,0.0,0.0,0.0,0.0,28,28,0.006411457061767578,1.794049773252482e-05,0.00423562247285152,1494.1,105963.29,325.5200301056757,0.08896064758300781,5.927978822910518e-05,0.007699336869439159,24300.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",True,0.7131293296813965,0.0006108710728176447,0.024715806133275214,2999.0,0.0,0.0,202712.9,513842.88999999996,716.8283546289167,0.0,0.0,0.0,0.0,28,28,0.006339597702026367,9.784099893295207e-07,0.0009891460909944095,1776.7,199022.21000000002,446.1190536168569,0.18615591526031494,0.0001476072474844159,0.012149372308247693,53300.0,410000.0,640.3124237432849,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.5)",True,0.7341302633285522,0.0019450477431661283,0.04410269541837696,2999.0,0.0,0.0,197039.4,639562.24,799.7263531983925,0.0,0.0,0.0,0.0,28,30,0.005066347122192383,1.3255382532406658e-06,0.0011513202218499706,1579.5,282807.65,531.7966246602173,0.14632301330566405,0.0002003692709513416,0.014155185302614077,40200.0,560000.0,748.3314773547883,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.5)",True,0.7106491327285767,0.0009961201844731703,0.03156137171406164,2999.0,0.0,0.0,197104.3,1529388.4100000001,1236.6844423700009,0.0,0.0,0.0,0.0,28,29,0.00696113109588623,6.574694833147988e-06,0.0025641167744757626,1748.7,157666.21,397.0720463593477,0.11945123672485351,0.00010144767709107327,0.01007212376269639,32300.0,410000.0,640.3124237432849,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.5)",True,0.7108122348785401,0.0008019445014747359,0.028318624639532476,2999.0,0.0,0.0,197783.9,1739542.0900000003,1318.9170140687397,0.0,0.0,0.0,0.0,28,28,0.005269622802734375,1.8142616931982046e-06,0.0013469453193052064,1566.8,140599.96,374.96661184697496,0.10934772491455078,0.00010421720807244127,0.01020868297443119,29900.0,90000.0,300.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.75)",True,1.1837154388427735,0.04406390997925428,0.20991405379167513,2393.8,191313.56,437.3940557437881,338062.3,3446070312.21,58703.2393672615,329444.44444444444,3096691358.024691,55647.923213941154,0.9,28,30,0.009262275695800782,1.5651504893412496e-05,0.0039561982879290185,2703.6,1163091.4400000002,1078.4671714985116,0.23526811599731445,0.00026432980818071885,0.01625822278666149,68100.0,890000.0,943.3981132056604,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.75)",True,0.8278231382369995,0.06108100098688794,0.2471457080082273,1572.7,225141.80999999997,474.4911063444709,232576.7,4091882485.0100007,63967.82382581106,232500.0,4092450000.0,63972.25961305416,1.0,28,28,0.007978105545043945,4.790719210632233e-06,0.002188771164519542,2331.2,225702.96000000002,475.0820560703172,0.18913865089416504,0.00018543191779372137,0.013617338866082513,52900.0,890000.0,943.3981132056604,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.75)",True,0.6645717620849609,0.050200744953019696,0.2240552274619356,1194.1,187908.49,433.4841288905512,184770.0,3940453285.8,62773.029923686176,184700.0,3939810000.0,62767.905811808,1.0,28,28,0.007500457763671875,6.823887449627363e-06,0.0026122571561060684,2322.8,626703.5599999999,791.6461078032279,0.16362123489379882,0.0008420131441971533,0.029017462745683904,43800.0,1560000.0,1248.9995996796797,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.75)",True,0.4646367311477661,0.01512592138201455,0.12298748465601916,740.5,54959.85,234.43517227583408,124174.2,1164848867.56,34129.882325610204,124100.0,1161890000.0,34086.507594648065,1.0,28,28,0.008596420288085938,1.3510692929230572e-05,0.003675689449508836,2095.4,696308.24,834.4508613453521,0.15551385879516602,0.0003759192480197271,0.01938863708515189,40400.0,2040000.0,1428.28568570857,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",True,0.5286941766738892,0.004370418727040146,0.0661091425374747,383.7,1578.81,39.734242159628515,144190.4,212753766.24,14586.081250287893,144000.0,212200000.0,14567.086187704115,1.0,28,28,0.008130168914794922,1.9594306550061444e-05,0.00442654566790646,2200.6,1992311.64,1411.4926992372295,0.31344640254974365,0.002016062061434809,0.04490057974497444,88400.0,8240000.0,2870.5400188814647,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.9)",True,0.4040383815765381,0.0016083706599238211,0.04010449675440176,257.2,333.36,18.258148865643527,103301.6,29581243.839999996,5438.864204960443,103100.0,29290000.0,5412.023651093923,1.0,28,28,0.008924436569213868,4.682350038137883e-05,0.0068427699348567045,1996.6,2027281.2400000002,1423.8262674919297,0.2877620458602905,0.0007380154633807479,0.027166440020377124,72400.0,7440000.0,2727.636339397171,1.0
