Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = decaying)",True,4.454548096656799,0.0351242401432097,0.18741462094300354,2999.0,0.0,0.0,1352699.6,148566773.84,12188.797062877042,0.0,0.0,0.0,0.0,71,83,0.09292716979980468,0.002038726943178517,0.04515226398729655,29464.5,200452010.65,14158.107594237303,4.02458381652832,0.1251736394536806,0.3537988686438675,1227500.0,4851850000.0,69655.22234549251,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = decaying)",True,4.57552592754364,0.01840634153859412,0.13566997287017538,2999.0,0.0,0.0,1359802.1,78086044.09,8836.630811004838,0.0,0.0,0.0,0.0,73,267,0.14598193168640136,0.007397271104357515,0.08600738982411636,45129.2,707659554.96,26601.871268014213,2.868248200416565,0.8849893229618537,0.9407387113124737,868800.0,77713560000.0,278771.51934873115,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = decaying)",True,4.800306725502014,0.05527781003406801,0.2351123349253884,2999.0,0.0,0.0,1404558.4,267226196.04000002,16347.054659479181,0.0,0.0,0.0,0.0,91,176,0.15904676914215088,0.006782597299050508,0.08235652554018114,48680.1,651217458.89,25518.962731466967,3.6636852741241457,0.1838223553298553,0.42874509365105895,1080400.0,9623040000.0,98097.09475820372,1.0
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = decaying)",True,5.953621292114258,0.04414733955285556,0.21011268298904653,2999.0,0.0,0.0,1740023.6,149632521.44,12232.437264911683,0.0,0.0,0.0,0.0,90,117,0.06662285327911377,0.00624931819210417,0.07905262925484623,20799.5,659146756.65,25673.85356057793,5.656211853027344,0.10634125991018095,0.32610007652587414,1657250.0,5316187500.0,72912.1903387904,0.4
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = decaying)",True,6.257901215553284,0.016152333052462498,0.1270918292120406,2999.0,0.0,0.0,1890867.9,370668721.69000006,19252.7588072463,0.0,0.0,0.0,0.0,106,221,0.14190690517425536,0.01093266610425928,0.10455939032080896,44964.1,1153648095.29,33965.395556212796,5.212090969085693,0.04396675165087345,0.20968250201405325,1590800.0,2321960000.0,48186.72016230198,1.0
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = decaying)",True,6.9563881158828735,0.010014756772116584,0.10007375666035818,2999.0,0.0,0.0,2080745.9,124983924.89000002,11179.620963610529,0.0,0.0,0.0,0.0,143,252,0.12710819244384766,0.007553938473554354,0.08691339639868156,38293.5,638092493.45,25260.492739651774,5.686368632316589,0.04008740541618238,0.20021839430027996,1720100.0,2767290000.0,52605.03778156613,1.0
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = decaying)",True,8.585043263435363,0.00631285821638187,0.07945349719415672,2999.0,0.0,0.0,2559279.9,71110445.09,8432.700936829197,0.0,0.0,0.0,0.0,126,239,0.19297335147857667,0.01890478386584903,0.13749466849972414,60781.8,1898871727.36,43576.045338694974,8.268176007270814,0.02268015272084142,0.15059931182061032,2470200.0,2547160000.0,50469.39666768367,1.0
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = decaying)",True,10.733712077140808,0.011261219376129361,0.1061188926446623,2999.0,0.0,0.0,3188840.5,313430704.25,17703.974250150728,0.0,0.0,0.0,0.0,210,399,0.18956186771392822,0.02778748460671579,0.16669578460991685,59183.9,2735984316.4900007,52306.637403775065,9.216533064842224,0.012021742642528466,0.10964370771972493,2762800.0,964360000.0,31054.146261006757,1.0
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = decaying)",True,12.64540238380432,0.029685052319255188,0.1722935063177228,2999.0,0.0,0.0,3698278.3,528892345.01000005,22997.65955505038,0.0,0.0,0.0,0.0,231,686,0.23078558444976807,0.038942662024515476,0.19733895212176303,70310.9,3595685839.6899996,59964.03788680345,11.164108567767673,0.05167538231263352,0.22732219933968947,3285444.4444444445,1421802469.1358025,37706.796060336426,0.9
