Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = decaying)",True,1.6695178985595702,0.002033649027057436,0.04509599790510723,2999.0,0.0,0.0,508233.7,39096797.010000005,6252.743158806382,0.0,0.0,0.0,0.0,28,42,0.006653308868408203,5.160206553682656e-05,0.007183457770240357,1956.8,5414380.959999999,2326.882240251964,1.5912051677703858,0.00319274375727673,0.05650436936447242,488800.0,200560000.0,14161.920773680384,0.5
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = decaying)",True,1.6644028425216675,0.0027843507219614595,0.052766947248836175,2999.0,0.0,0.0,515043.7,133880405.60999998,11570.670058816819,0.0,0.0,0.0,0.0,29,37,0.006109046936035156,3.230164158821936e-05,0.0056834533153901565,2005.3,3557208.2099999995,1886.0562584398165,1.6241935729980468,0.0050860548007358375,0.07131658152727062,506000.0,394800000.0,19869.574731231667,0.5
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = decaying)",True,1.698288130760193,0.0005002856329616634,0.022367065810285965,2999.0,0.0,0.0,524086.2,49876669.76,7062.341662649861,0.0,0.0,0.0,0.0,29,169,0.007608201768663194,2.0605560904849328e-05,0.0045393348526903505,2102.8,2154059.5599999996,1467.6714755012442,1.5281116962432861,0.02142992344887489,0.1463896288979342,475000.0,1849000000.0,43000.0,1.0
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = decaying)",True,2.162698245048523,0.0017593244022174304,0.04194430118880788,2999.0,0.0,0.0,658836.4,92134288.24000001,9598.660752417496,0.0,0.0,0.0,0.0,36,52,0.006670475006103516,4.738823297935192e-05,0.0068839111687580565,2038.3,5174079.81,2274.660372451237,2.1244893074035645,0.007193629011612757,0.08481526402489564,644400.0,280240000.0,16740.370366273262,0.5
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = decaying)",True,2.337613034248352,0.0022688179203674964,0.047632110181761805,2999.0,0.0,0.0,714369.3,107343178.00999999,10360.655288638842,0.0,0.0,0.0,0.0,43,89,0.00574491024017334,2.0706445132532283e-05,0.004550433510395717,1664.8,1931859.7599999998,1389.913580047335,2.224523830413818,0.0054115675073467175,0.07356335709676876,682400.0,225240000.0,15007.997867803686,1.0
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = decaying)",True,2.542745590209961,0.001148369865074983,0.03388760636390512,2999.0,0.0,0.0,779184.0,95932881.4,9794.533240537805,0.0,0.0,0.0,0.0,40,964,0.008669424057006835,2.5221291239176938e-05,0.0050220803696453264,2668.1,1997280.2900000003,1413.251672562251,2.324497175216675,0.0012852103021805303,0.03584982987659119,716100.0,165290000.0,12856.515857727552,1.0
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = decaying)",True,3.2458205699920653,0.002317630118202487,0.048141771033090246,2999.0,0.0,0.0,975975.5,155240018.65,12459.535250160818,0.0,0.0,0.0,0.0,50,128,0.007445025444030762,2.3634642389538384e-05,0.004861547324621903,2509.1,2452460.29,1566.0332978579988,3.267061471939087,0.0,0.0,944000.0,0.0,0.0,0.1
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = decaying)",True,4.109257626533508,0.006596095020063898,0.0812163470002431,2999.0,0.0,0.0,1232561.3,614320470.2099999,24785.489105724744,0.0,0.0,0.0,0.0,67,229,0.006005024909973145,4.838317710721186e-05,0.006955801686880662,1741.4,3293208.840000001,1814.720044524775,3.7952841997146605,0.023876088047462076,0.1545188922024167,1144700.0,1993010000.0,44643.14057052886,1.0
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = decaying)",True,4.795701718330383,0.0017112802839784533,0.041367623620150736,2999.0,0.0,0.0,1436071.3,118155647.21,10869.942373812291,0.0,0.0,0.0,0.0,78,221,0.006261062622070312,2.3614412200458897e-05,0.004859466246457412,2151.4,2688587.2399999998,1639.691202635423,4.427199893527561,0.006598053600401042,0.08122840390159738,1331111.111111111,658098765.4320987,25653.43574323133,0.9
