Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.20447474479675293,0.0008184215988298093,0.02860806877141149,999.0,0.0,0.0,45868.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.1",True,False,0.2324783229827881,0.0013031297414489928,0.03609888836860482,999.0,0.0,0.0,50547.98,41265.639599999995,203.1394585008043,0.0,0.0,0.0,0.0,32,32
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.3689643692970276,0.0020555524196696016,0.04533820044586685,999.0,0.0,0.0,87732.14,386057.24040000007,621.3350468145186,0.0,0.0,0.0,0.0,32,32
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.555708918571472,0.016608449596898275,0.12887377389095997,999.0,0.0,0.0,384527.86,12667953.860400002,3559.206914524639,0.0,0.0,0.0,0.0,32,32
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.7129411721229553,0.0020957868392116495,0.04577976451677804,999.0,0.0,0.0,484432.81,3424564.0139000006,1850.5577575152852,0.0,0.0,0.0,0.0,32,32
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.8261837077140808,0.017440325720622984,0.13206182537214525,999.0,0.0,0.0,484786.43,4377793.7051,2092.3177830100285,0.0,0.0,0.0,0.0,32,32
Model-free Dijkstra,True,False,0.0026805567741394042,1.4841750206130654e-06,0.0012182672205280193,243.0,0.0,0.0,3663.0,0.0,0.0,846.0,0.0,0.0,1.0,32,32
