Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.4020745587348938,0.001414633822302284,0.03761161818244841,999.0,0.0,0.0,100159.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.1",True,False,0.4490635681152344,0.0003781140774291088,0.01944515562882202,999.0,0.0,0.0,110267.4,34812.68,186.58156393384638,0.0,0.0,0.0,0.0,64,64
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.7775523066520691,0.0010451316086145823,0.03232849530390461,999.0,0.0,0.0,193362.18,797615.8876,893.0934372169577,0.0,0.0,0.0,0.0,64,64
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",False,True,1.8896271729469298,0.009128870868581425,0.09554512477662806,999.0,0.0,0.0,499397.38,54391.07559999999,233.21894348444337,0.0,0.0,0.0,0.0,4,69
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",False,True,1.7830153560638429,0.005397435416427152,0.0734672404301887,999.0,0.0,0.0,499998.89,109.19789999999993,10.449779901988364,0.0,0.0,0.0,0.0,25,52
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",False,True,1.7853428220748901,0.0027395135345334664,0.05234036238443011,999.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,4,52
Model-free Dijkstra,True,False,0.003238358497619629,1.4458932971820102e-06,0.0012024530332541102,331.0,0.0,0.0,4423.0,0.0,0.0,1157.0,0.0,0.0,1.0,64,64
