Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.2020079779624939,0.00029462125087395064,0.017164534682709887,626.0,0.0,0.0,50000.0,0.0,0.0,50000.0,0.0,0.0,1.0,39,39
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.1",True,False,0.20972737073898315,0.00033501245922749944,0.018303345574716648,628.8,3030.2200000000007,55.04743409097286,53520.82,5257619.207600001,2292.94989208225,53500.0,5250000.0,2291.28784747792,1.0,39,39
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.3620161509513855,0.0032311794277067006,0.05684346424793883,796.01,24401.909900000002,156.2111068394306,94216.34,153262007.12440002,12379.903356827954,88800.0,88560000.0,9410.632284814874,0.75,39,39
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.9451819705963135,0.044804372880726626,0.2116704345928515,637.07,21285.605099999997,145.89587074348609,262021.24,3316282640.9424,57587.17427468029,258928.57142857142,2964413265.306122,54446.4256430679,0.98,39,39
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.8085369205474854,0.010694991597195579,0.10341659246559799,467.05,2080.6475000000005,45.61411513994326,228336.74,508740338.77239996,22555.272970469676,228100.0,508890000.0,22558.590381493254,1.0,39,39
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.8320258021354675,0.01063414618903195,0.10312199663035986,467.68,2293.7576,47.89318949495846,228559.14,538829293.7003999,23212.6968209297,228300.0,540110000.0,23240.26677988013,1.0,39,39
Model-free Dijkstra,True,False,0.003866782188415527,1.0752191597498493e-05,0.0032790534606039123,400.0,0.0,0.0,5782.0,0.0,0.0,1518.0,0.0,0.0,1.0,39,39
