Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.4104055571556091,0.0005418215649877482,0.023277060918160355,999.0,0.0,0.0,92530.0,0.0,0.0,0.0,0.0,0.0,0.0,73,73
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.1",True,False,0.41656113147735596,0.0006331220270794572,0.025161916204443913,999.0,0.0,0.0,102424.56,32176.886400000003,179.3791693592096,0.0,0.0,0.0,0.0,73,73
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.7020495986938476,0.002532696787828081,0.050325905732814,999.0,0.0,0.0,184963.48,607966.0496,779.7217770461461,0.0,0.0,0.0,0.0,73,73
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",False,True,1.7147716665267945,0.018946058034995553,0.13764468037303712,956.99,4885.969899999999,69.89971316107098,478480.12,1220445841.6656,34934.880015045135,443947.36842105264,1315997229.9168975,36276.676114507754,0.38,56,75
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",False,True,1.719012475013733,0.007947891393794749,0.08915094724003077,999.0,0.0,0.0,499999.88,1.4256000000000002,1.1939849245279441,0.0,0.0,0.0,0.0,24,64
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",False,True,1.7368191432952882,0.003483800781536365,0.059023730664338435,999.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,23,66
Model-free Dijkstra,True,False,0.0018011116981506347,9.668882453405558e-06,0.0031094826665227704,213.0,0.0,0.0,2360.0,0.0,0.0,656.0,0.0,0.0,1.0,73,73
