Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.15828402280807496,9.829667858377319e-05,0.009914468144271441,999.0,0.0,0.0,36119.0,0.0,0.0,0.0,0.0,0.0,0.0,24,24
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.1",True,False,0.17934075355529785,0.00022471792666297006,0.014990594606718243,999.0,0.0,0.0,40329.46,31854.028400000007,178.47696882231054,0.0,0.0,0.0,0.0,24,24
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.2933240580558777,0.00026061166978235523,0.0161434714291058,999.0,0.0,0.0,72643.48,246991.7096,496.9826049269733,0.0,0.0,0.0,0.0,24,24
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.3045390629768372,0.0017069122401336412,0.04131479444622278,999.0,0.0,0.0,349677.93,15077488.985099997,3882.9742447124213,0.0,0.0,0.0,0.0,24,24
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.7131753277778625,0.0032212886529255857,0.05675639746253796,999.0,0.0,0.0,473719.81,5868832.073900001,2422.567248581554,0.0,0.0,0.0,0.0,24,24
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.776215958595276,0.009463402606556313,0.09728002162086681,999.0,0.0,0.0,473583.8,4555209.82,2134.293752040707,0.0,0.0,0.0,0.0,24,24
Model-free Dijkstra,True,False,0.002974090576171875,1.8205556899829392e-06,0.0013492796930151061,279.0,0.0,0.0,3687.0,0.0,0.0,882.0,0.0,0.0,1.0,24,24
