Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.1544950032234192,3.7529606021223576e-06,0.0019372559464671563,999.0,0.0,0.0,47576.0,0.0,0.0,0.0,0.0,0.0,0.0,33,33,0.00408658504486084,2.278712577208353e-09,4.7735862589968484e-05,1260.0,0.0,0.0,0.06487354755401611,5.228735276205044e-07,0.0007230999430372708,20000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.2097351861000061,7.3516042114704304e-06,0.002711384187360845,999.0,0.0,0.0,63528.42,68693.54360000002,262.09453180102787,0.0,0.0,0.0,0.0,33,33,0.008435468673706054,5.483501423304916e-06,0.002341687729673817,2589.22,520800.15160000004,721.6648471416631,0.07587636709213257,2.07903171414614e-06,0.0014418847783876977,23110.0,137900.0,371.34889255254285
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.3089055371284485,1.5284200115792147e-05,0.003909501261771397,999.0,0.0,0.0,96395.74,299217.5724,547.0078357756861,0.0,0.0,0.0,0.0,33,33,0.010286040306091308,8.067008571492809e-06,0.0028402479771127043,3261.44,813464.6464,901.9227496853597,0.09105329513549805,4.7266323952044344e-06,0.0021740819660731364,28630.0,313100.0,559.5533933415112
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.6635345888137817,7.79549756368624e-05,0.008829211495760105,999.0,0.0,0.0,214642.22,4377827.6716,2092.325899949623,0.0,0.0,0.0,0.0,33,33,0.012965359687805177,1.6729588649263856e-05,0.004090181982413968,4265.28,1823547.8016000004,1350.3880189041963,0.12145524263381959,1.825304361238409e-05,0.0042723580856927346,39680.0,1857600.0,1362.9380029920658
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.46075346231460573,0.005020313858930303,0.07085417319347043,205.2,1374.26,37.07101293463668,152405.0,538439202.6,23204.292762331715,152070.0,536945100.0,23172.075867302006,1.0,33,33,0.01397300958633423,5.545390115045734e-05,0.007446737617940982,4669.0,6232605.24,2496.5186240042353,0.17863086700439454,0.0001491089438203744,0.01221101731308143,59420.0,16883600.0,4108.965806623365
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.7247583651542664,0.034268206305278104,0.1851167369669153,107.86,751.0003999999999,27.404386510192122,251488.84,4137299209.9344,64321.84084690363,251060.0,4135936400.0,64311.24629487443,1.0,33,33,0.01276940107345581,0.0001356529276056051,0.011647013677574397,4440.94,16692920.036400005,4085.6970074150145,0.4881751537322998,0.01919424358720562,0.13854329138289453,169640.0,2311730400.0,48080.45756853818
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.8237649321556091,0.05057742679171084,0.22489425691135564,118.54,1022.7684000000002,31.980750460237797,278237.92,5700127819.753601,75499.19085495951,277780.0,5706291600.0,75540.0,1.0,33,33,0.010949561595916748,0.00011965171047824581,0.010938542429329687,3722.14,14141325.780399997,3760.495416883259,0.5311967396736145,0.02391662534112003,0.15465000918564484,179730.0,2698997100.0,51951.87292100257
Model-free Dijkstra,True,False,0.0021240019798278807,2.284142138876178e-07,0.000477926996399678,280.0,0.0,0.0,3874.0,0.0,0.0,964.0,0.0,0.0,1.0,33,33,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.019263496398925783,2.1487210792656694e-07,0.00046354299469042454,24.0,0.0,0.0,27870.0,0.0,0.0,24960.0,0.0,0.0,1.0,33,33,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.02805062770843506,2.1328023992737152e-07,0.000461822736477289,37.0,0.0,0.0,41390.0,0.0,0.0,38480.0,0.0,0.0,1.0,33,33,,,,,,,,,,,,
