Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.1854022455215454,0.0007096205126467569,0.026638703283882962,999.0,0.0,0.0,40915.0,0.0,0.0,0.0,0.0,0.0,0.0,28,28
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.1",True,False,0.2028379774093628,0.0010719855089610293,0.03274118979146954,999.0,0.0,0.0,44975.53,15056.8291,122.70627164085788,0.0,0.0,0.0,0.0,28,28
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.3436674928665161,0.0016523354911417072,0.040648929766252236,999.0,0.0,0.0,78629.14,267574.6804,517.2762128689081,0.0,0.0,0.0,0.0,28,28
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.4199907422065735,0.006108198472516477,0.07815496447773793,273.24,1764.2223999999999,42.002647535601845,105553.55,232634664.78749996,15252.365875086394,105350.0,232627500.0,15252.130998650648,1.0,28,28
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.7273716020584107,0.02100781616674883,0.14494073329036536,382.42,3665.5236,60.54356778386949,182630.09,853549215.1619,29215.564604537427,182400.0,852240000.0,29193.149881436228,1.0,28,28
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.6987556505203247,0.015021128672668487,0.12256071423041107,381.12,2963.5655999999994,54.438640688393384,181938.13,663927534.8131001,25766.791317762094,181700.0,664610000.0,25780.031031788927,1.0,28,28
Model-free Dijkstra,True,False,0.0028041577339172363,1.230502460713865e-05,0.0035078518507968164,290.0,0.0,0.0,4015.0,0.0,0.0,1037.0,0.0,0.0,1.0,28,28
