Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.15342440605163574,0.00022166502389950435,0.014888419120225772,999.0,0.0,0.0,33572.0,0.0,0.0,0.0,0.0,0.0,0.0,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.1",True,False,0.16402666330337523,0.00029911229866194726,0.017294863360603555,999.0,0.0,0.0,37014.32,29640.557600000004,172.1643331239081,0.0,0.0,0.0,0.0,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.2671205425262451,0.0002607877048536921,0.016148922714958176,999.0,0.0,0.0,64344.03,308292.4091,555.2408568360221,0.0,0.0,0.0,0.0,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.116937484741211,0.0036709081939631225,0.060588020218217416,999.0,0.0,0.0,285118.27,15985104.3771,3998.1376135771015,0.0,0.0,0.0,0.0,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.3858226895332337,0.042095197467404394,0.20517114189720834,847.49,12772.389900000004,113.01499856213778,382017.11,2617270618.9579,51159.26718550511,366707.31707317074,1922694824.5092208,43848.54415495708,0.82,22,22
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.3812136626243592,0.029793606732641247,0.17260824642131456,875.22,8676.4116,93.14725760858448,393609.63,1719584596.5730996,41467.87427121265,381927.7108433735,1302308027.2898827,36087.50514083625,0.83,22,22
Model-free Dijkstra,True,False,0.0031325435638427735,1.3679697329644116e-05,0.0036986074852090097,291.0,0.0,0.0,4494.0,0.0,0.0,1009.0,0.0,0.0,1.0,22,22
