Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.14943237781524657,0.00014424703904453512,0.012010288882642878,999.0,0.0,0.0,35473.0,0.0,0.0,0.0,0.0,0.0,0.0,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.1",True,False,0.1824101233482361,0.0003222032181139355,0.017950020003162547,999.0,0.0,0.0,40286.6,65189.96,255.3232461018777,0.0,0.0,0.0,0.0,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.30983360767364504,0.0003593523114991741,0.018956590186507017,999.0,0.0,0.0,74249.43,333606.9650999999,577.5871926384795,0.0,0.0,0.0,0.0,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.2294070625305176,0.028641922549096446,0.16923924647993574,887.86,15629.8204,125.01928011310896,325186.65,1969222575.3075,44375.92337413949,303203.125,1747161865.234375,41799.065363167814,0.64,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.1787010097503663,0.04183816949400071,0.2045438082514372,662.24,11505.022400000002,107.261467452203,318447.44,2701610541.2064,51977.01935669647,318200.0,2703760000.0,51997.692256483846,1.0,22,22
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.05332186460495,0.025442428649409852,0.1595068294757621,581.4,5962.28,77.21580149166361,279817.34,1400452516.6243997,37422.62038693175,279600.0,1402340000.0,37447.830377740174,1.0,22,22
Model-free Dijkstra,True,False,0.0033408594131469726,9.935428786093322e-07,0.0009967662106077494,273.0,0.0,0.0,4530.0,0.0,0.0,981.0,0.0,0.0,1.0,22,22
