Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.1972646450996399,0.00010505867816606838,0.010249813567381038,999.0,0.0,0.0,47708.0,0.0,0.0,0.0,0.0,0.0,0.0,33,33
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.1",True,False,0.21308670043945313,6.0763411889865884e-05,0.007795088959714693,999.0,0.0,0.0,52991.72,28193.0416,167.90783662473888,0.0,0.0,0.0,0.0,33,33
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.3629049777984619,0.0005595603069184563,0.023655027096126022,999.0,0.0,0.0,95064.16,279969.5744000001,529.1215119422004,0.0,0.0,0.0,0.0,33,33
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.6545348954200745,0.010609047708646875,0.10300023159511282,999.0,0.0,0.0,433570.22,11847388.071600001,3442.003496744302,0.0,0.0,0.0,0.0,33,33
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",False,True,1.8168189167976379,0.009482117868963512,0.09737616684262897,999.0,0.0,0.0,497899.48,444920.6095999999,667.0236949314469,0.0,0.0,0.0,0.0,9,38
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",False,True,1.8281595635414123,0.006004679430505411,0.07748986663109836,999.0,0.0,0.0,497944.4,593055.44,770.1009284502908,0.0,0.0,0.0,0.0,30,39
Model-free Dijkstra,True,False,0.003445305824279785,1.962477307665722e-06,0.0014008844733473642,280.0,0.0,0.0,3837.0,0.0,0.0,964.0,0.0,0.0,1.0,33,33
