Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.1546587347984314,0.000502899460365569,0.022425419959625485,999.0,0.0,0.0,35316.0,0.0,0.0,0.0,0.0,0.0,0.0,22,22,0.0065115785598754885,1.8593133142326225e-05,0.004311975549829362,1569.0,0.0,0.0,0.0720981764793396,0.0002170297972873584,0.014731931213773652,17000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.21048896074295043,0.0009138664646203493,0.030230224356103435,999.0,0.0,0.0,48811.78,119418.91159999998,345.5704148216395,0.0,0.0,0.0,0.0,22,22,0.009188604354858399,2.815872921814844e-05,0.005306479927235044,2133.32,379433.7375999999,615.9819296050817,0.08607039451599122,0.0003300635535174479,0.018167651293368878,20250.0,207500.0,455.52167895721493
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.3141102933883667,0.001424615436395493,0.03774407816327607,999.0,0.0,0.0,74964.83,254039.62109999996,504.02343308620084,0.0,0.0,0.0,0.0,22,22,0.010364038944244385,3.15189865844502e-05,0.005614177284736403,2273.44,763201.0064,873.6137627121037,0.10717154264450074,0.0004138205071392974,0.020342578674772217,25020.0,579600.0,761.3146524269712
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.6377795386314392,0.005030031387017124,0.07092271418253199,999.0,0.0,0.0,165954.09,4740459.0819,2177.259534805164,0.0,0.0,0.0,0.0,22,22,0.012718122005462646,5.024934892623491e-05,0.007088677516027578,3461.7,1739675.8699999996,1318.9677289456326,0.13035072565078734,0.00041765324295653833,0.020436566320116947,34640.0,2990400.0,1729.2773056973829
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.9479153561592102,0.043625313290223226,0.2088667357197484,563.85,18771.767499999998,137.01009999266478,272431.68,3628352308.3376,60235.80586609264,270050.50505050505,3224249974.4923983,56782.47946763507,0.99,22,22,0.010143089294433593,5.2868689302840714e-05,0.007271085840700873,2946.26,3453677.5724,1858.4072676353803,0.1616216206550598,0.00024740712942195275,0.015729180824885725,46950.0,8727500.0,2954.2342493444894
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.4626381587982178,0.006290779742217501,0.07931443590051877,88.25,216.9475,14.729137788750569,142624.81,553024863.1739001,23516.480671518435,142210.0,555505900.0,23569.172662611643,1.0,22,22,0.005229833126068115,2.905703174121186e-05,0.005390457470494676,1620.24,1483272.4624,1217.8967371661688,0.24165714502334595,0.0016942593530864707,0.04116138181701959,74670.0,140181100.0,11839.809964691156
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.4802322602272034,0.00614115238554529,0.07836550507426907,90.76,195.4824,13.9815020652289,144673.67,476276312.0211,21823.75568093402,144190.0,477333900.0,21847.972445973104,1.0,22,22,0.005613377094268799,3.834970484296605e-05,0.006192713851209827,1936.98,3462904.039600001,1860.8879707279536,0.25683372497558593,0.0023602848061239907,0.04858276243817339,76650.0,189087500.0,13750.909060858487
Model-free Dijkstra,True,False,0.0031297993659973144,1.2168012289129137e-05,0.0034882678063946205,273.0,0.0,0.0,4530.0,0.0,0.0,981.0,0.0,0.0,1.0,22,22,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.018717405796051027,1.7432888692491136e-05,0.004175271092095834,21.0,0.0,0.0,30177.0,0.0,0.0,26628.0,0.0,0.0,1.0,22,22,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.024317731857299806,2.299801147491962e-05,0.004795624200760483,30.0,0.0,0.0,41589.0,0.0,0.0,38040.0,0.0,0.0,1.0,22,22,,,,,,,,,,,,
