Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.20331794738769532,0.0006848358211460436,0.02616936799286608,999.0,0.0,0.0,48008.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32,0.006376585960388184,1.4849757315255374e-05,0.0038535382851679796,1589.0,0.0,0.0,0.10355961799621582,0.0003621576238009311,0.01903043940115233,25000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.25063458442687986,0.0008285341709353362,0.028784269504980253,999.0,0.0,0.0,61830.93,77559.0451,278.4942460805968,0.0,0.0,0.0,0.0,32,32,0.017595562934875488,3.772439921706336e-05,0.006142019148216925,4455.2,1189440.68,1090.6148174309756,0.12105193614959717,0.0003550586338960556,0.018842999599216034,30420.0,403600.0,635.2952069707436
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.3335232925415039,0.0009472258593321841,0.03077703460913972,999.0,0.0,0.0,89141.1,321869.21,567.3351831148849,0.0,0.0,0.0,0.0,32,32,0.020012733936309816,7.871845081069184e-05,0.008872341901138156,5436.34,1515036.9643999997,1230.868378178593,0.14364888429641723,0.000341090940455723,0.018468647499362886,38800.0,1880000.0,1371.1309200802089
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.6647853779792786,0.002345234114789554,0.048427617273509894,999.0,0.0,0.0,180506.94,4235738.436399999,2058.090968932131,0.0,0.0,0.0,0.0,32,32,0.022454576492309572,9.239352231461451e-05,0.009612154925645681,6162.88,2977138.2255999995,1725.4385603666099,0.21110449314117433,0.0009715458456766783,0.03116963018190428,57380.0,25875600.0,5086.806463784523
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.927704975605011,0.10011599549109826,0.3164111178373767,475.09,32776.8219,181.043701630297,256457.04,7361428351.898399,85798.76661058945,251051.02040816325,6208272907.122032,78792.59424033474,0.98,32,32,0.018952038288116455,0.00010672110100460373,0.01033059054481416,5209.98,6910610.279599999,2628.803963706689,0.3024438786506653,0.002682058628960539,0.051788595549218545,83400.0,105320000.0,10262.553288534
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.5970101380348205,0.026829115820693795,0.16379595788875193,98.98,744.5396,27.286252949058433,180394.49,2580373187.5699,50797.373825522714,179890.0,2577257900.0,50766.70070036066,1.0,32,32,0.00958103895187378,0.00010849471006769705,0.010416079400028451,2758.66,6301499.764400001,2510.27882204348,0.3918333053588867,0.0042674758898704115,0.06532592050534314,118740.0,283912400.0,16849.700294070513
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.6540102124214172,0.03467709013894407,0.18621785665973087,98.5,719.57,26.824801956398485,178409.51,2390789346.6899,48895.69865223218,177970.0,2397669100.0,48965.99942817465,1.0,32,32,0.0077730917930603025,7.122609954910218e-05,0.008439555648794679,2154.8,3852293.4800000004,1962.7260328430966,0.437071795463562,0.006243538258340754,0.07901606329310992,119700.0,299050000.0,17293.062192682937
Model-free Dijkstra,True,False,0.003572065830230713,1.4236165440087234e-05,0.0037730843404418135,292.0,0.0,0.0,3986.0,0.0,0.0,1019.0,0.0,0.0,1.0,32,32,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.01838036298751831,3.299323271455137e-05,0.005743973599743593,21.0,0.0,0.0,25647.0,0.0,0.0,22680.0,0.0,0.0,1.0,32,32,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.026260032653808593,5.022528108647748e-05,0.0070869796871782745,34.0,0.0,0.0,39687.0,0.0,0.0,36720.0,0.0,0.0,1.0,32,32,,,,,,,,,,,,
