Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.3952526211738586,0.0011979530224191137,0.034611457964366564,999.0,0.0,0.0,101214.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,0.007996490001678467,1.674562605023198e-05,0.004092141988034137,2015.0,0.0,0.0,0.21400434017181397,0.0005160665752323667,0.02271709874152874,55000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.5157925271987915,0.0006493951298957881,0.02548323232825436,999.0,0.0,0.0,133120.48,145977.98960000003,382.07066048049285,0.0,0.0,0.0,0.0,64,64,0.01036149263381958,4.746644324924887e-05,0.006889589483361753,2789.88,2225311.7856000005,1491.7478961272245,0.24832228183746338,0.00026449609293765656,0.016263335849008853,64600.0,1840000.0,1356.4659966250535
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.7397360062599182,0.0020302316846933705,0.0450580923330468,999.0,0.0,0.0,199780.7,1092549.9500000002,1045.251142070651,0.0,0.0,0.0,0.0,64,64,0.01669818639755249,8.197550615347495e-05,0.00905403259070095,4724.78,4000603.3516,2000.150832212411,0.29830297470092776,0.0007132362436408585,0.026706483176203836,80700.0,4010000.0,2002.4984394500786
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,1.288706123828888,0.05245416744043993,0.22902874806547743,824.84,27797.674400000007,166.72634584851912,362189.66,3832778210.4244,61909.435552461626,334571.4285714286,2961959183.673469,54423.88431262022,0.7,64,64,0.025348060131073,0.0001436152500076048,0.011983958027613616,7496.44,9716018.0064,3117.052775684108,0.4077196645736694,0.0007468809584106338,0.027329122898670455,115100.0,13490000.0,3672.8735344413917
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.716102032661438,0.00564299229380456,0.07511985286064238,137.84,288.43440000000004,16.983356558701818,204781.68,356256380.0776,18874.755099804606,204150.0,353027500.0,18789.026052459452,1.0,64,64,0.0391127347946167,0.000579101626487386,0.02406453046471894,11024.66,37920454.404400006,6157.958623147772,0.5694317388534545,0.0016321477138721773,0.04039984794367644,163250.0,52187500.0,7224.091638399945
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,2.242218134403229,0.7500409096477056,0.8660490226584784,227.49,7785.6898999999985,88.23655648312665,662762.92,66229394197.51361,257350.72216240934,661300.0,66208810000.0,257310.72655449092,1.0,64,64,0.07906245946884155,0.00493123217891877,0.07022273263636762,23452.9,422706008.27,20559.815375387006,1.4418704009056091,0.10497260874845019,0.32399476654484743,426550.0,8908347500.0,94384.04261314515
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,2.3310360407829283,0.3399099758103981,0.5830179892682541,230.7,3258.47,57.08300973144286,674822.44,28046175664.4664,167469.92465653765,673400.0,28006440000.0,167351.24738106973,1.0,64,64,0.06037480592727661,0.0025612209664214957,0.05060850685824959,18075.62,222046550.7756,14901.226485615201,1.5705598378181458,0.10524088972805894,0.324408522896762,456400.0,8995540000.0,94844.82062822409
Model-free Dijkstra,True,False,0.003081066608428955,1.429468391876867e-05,0.003780831114817041,331.0,0.0,0.0,4423.0,0.0,0.0,1157.0,0.0,0.0,1.0,64,64,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.044539954662322995,2.928165670697922e-05,0.0054112527853519485,56.0,0.0,0.0,69570.0,0.0,0.0,66304.0,0.0,0.0,1.0,64,64,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.050782740116119385,3.70181115526691e-05,0.006084251108613869,67.0,0.0,0.0,82594.0,0.0,0.0,79328.0,0.0,0.0,1.0,64,64,,,,,,,,,,,,
