Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.3587532043457031,0.0004586497255706945,0.021416109020330806,999.0,0.0,0.0,93512.0,0.0,0.0,0.0,0.0,0.0,0.0,73,73,0.0037542319297790526,1.658756165385853e-05,0.004072783035451131,924.0,0.0,0.0,0.13336179971694948,0.00012289962610595353,0.011086010378217834,35000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.46751717805862425,0.0008030560085433707,0.02833824286266477,999.0,0.0,0.0,124053.02,85559.15960000001,292.50497363292817,0.0,0.0,0.0,0.0,73,73,0.0058351469039916995,2.738032781369384e-05,0.0052326215049145145,1541.98,884145.7196000001,940.2902315774636,0.15138413906097412,0.00013270931967497294,0.011519953110797497,40000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.6923444509506226,0.0024259249118796333,0.049253679170998314,999.0,0.0,0.0,189194.14,661546.6603999999,813.3551871107726,0.0,0.0,0.0,0.0,73,73,0.01043720006942749,5.220671051608292e-05,0.007225421130708086,2906.5,2622376.67,1619.3753950211792,0.18106534719467163,0.0002364049457831868,0.01537546570947322,50100.0,490000.0,700.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.38220083713531494,0.004228148305150512,0.06502421322207991,208.83,2090.1611000000003,45.7182797139175,110642.56,288635688.8064,16989.28158594118,110450.0,288547500.0,16986.685962835716,1.0,73,73,0.019439232349395753,0.0001097498286189591,0.010476155240304484,5694.8,8303309.440000001,2881.5463626323976,0.2436271333694458,0.00029409309059544737,0.017149142561523226,70550.0,5947500.0,2438.7496796514397
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.3517796778678894,0.000997949302379874,0.03159033558511011,63.52,34.389599999999994,5.86426465978472,104336.58,38377936.6636,6194.992870342951,103750.0,38687500.0,6219.927652312364,1.0,73,73,0.03353391170501709,0.0004230496946254107,0.020568171883407885,10168.44,35787043.0864,5982.2272680332035,0.3403579831123352,0.0008826271152058496,0.029709040967453824,100900.0,38190000.0,6179.80582219215
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,2.085488486289978,1.0597460256800408,1.0294396658765588,212.69,10951.7539,104.6506278050925,631569.94,96557938471.3964,310737.7326161025,630000.0,96572000000.0,310760.35783220484,1.0,73,73,0.19084170579910278,0.04204935974725532,0.20505940541037204,59194.04,3955214741.838399,62890.49802504667,1.5672039771080017,0.3027192532546827,0.5501992850365063,475150.0,27674227500.0,166355.7257806295
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,2.4584399366378786,1.8200390327702578,1.3490882227527812,239.95,17213.9475,131.20193405586673,712224.14,151250648322.7404,388909.5631669918,710650.0,150948327500.0,388520.6912121927,1.0,73,73,0.2183859610557556,0.014531658304222102,0.12054732806753579,63155.78,1186569868.7116003,34446.623473304324,1.4962061762809753,0.10061340981625833,0.31719616929631783,434150.0,7798027500.0,88306.4408749441
Model-free Dijkstra,True,False,0.0017313861846923828,6.315280804665234e-06,0.0025130222451592494,213.0,0.0,0.0,2360.0,0.0,0.0,656.0,0.0,0.0,1.0,73,73,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.02374190330505371,1.5294365799854857e-05,0.003910801171097152,56.0,0.0,0.0,38776.0,0.0,0.0,37072.0,0.0,0.0,1.0,73,73,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.030320069789886474,1.5349700352197715e-05,0.003917869363850423,74.0,0.0,0.0,50692.0,0.0,0.0,48988.0,0.0,0.0,1.0,73,73,,,,,,,,,,,,
