Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.12297637701034546,3.801003232148901e-05,0.006165227677992842,999.0,0.0,0.0,42386.0,0.0,0.0,0.0,0.0,0.0,0.0,31,31,0.004254443645477295,9.428457750061625e-07,0.0009710024588054154,1430.0,0.0,0.0,0.05500236749649048,1.9096681335639686e-05,0.0043699749811228535,19000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.16239949464797973,6.184380542933355e-05,0.007864083254221915,999.0,0.0,0.0,56134.04,85290.7184,292.0457471013745,0.0,0.0,0.0,0.0,31,31,0.008875110149383546,8.455817821976553e-06,0.002907888894365903,3146.7,691774.9900000001,831.7301184879625,0.06468594312667847,2.3174948210561297e-05,0.004814036581763925,22490.0,289900.0,538.4236250388722
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.23918153047561647,9.554805196032133e-05,0.009774868385831153,999.0,0.0,0.0,84432.58,311746.9836,558.3430698056527,0.0,0.0,0.0,0.0,31,31,0.012032878398895264,9.168484812533961e-06,0.003027950596118431,4271.42,776638.9835999998,881.2712315740256,0.08189813375473022,3.97903661940461e-05,0.00630796054157333,29090.0,1361900.0,1167.0047129296436
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.5064089226722718,0.00038416720541414976,0.019600183810723554,999.0,0.0,0.0,185097.06,5342439.9564,2311.371877565356,0.0,0.0,0.0,0.0,31,31,0.012949132919311523,1.326621910493486e-05,0.0036422821286845506,4742.6,1283122.04,1132.7497693665623,0.11503067970275879,0.0001306804585721238,0.011431555387265716,42370.0,12133100.0,3483.259967329456
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.9043677425384522,0.05801689759906381,0.24086697075162425,640.35,31630.027499999997,177.84832723419132,337633.1,7936616135.79,89087.68790236954,328052.63157894736,6631460387.811635,81433.77915712641,0.95,31,31,0.009748349189758301,3.069447823397695e-05,0.005540259762319539,3711.26,4335706.4524,2082.235926210092,0.1559844994544983,0.00034809801494372435,0.018657384997467472,59310.0,45293900.0,6730.07429379498
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.44145631551742553,0.010281754232620977,0.10139898536287716,108.35,582.9075,24.14347738002958,173973.12,1468229677.3056,38317.4852685507,173550.0,1470767500.0,38350.586696946375,1.0,31,31,0.004521534442901611,1.573759015593055e-05,0.003967063165104703,1763.7,2697117.9500000007,1642.2904584756013,0.24445365667343139,0.001578822173062662,0.03973439534034288,96630.0,223233100.0,14940.987249843967
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.4695100736618042,0.01453833423026024,0.12057501495027997,111.74,859.1924,29.31198389737549,179624.14,2011334026.1804001,44847.89879337046,179220.0,2012031600.0,44855.67522621859,1.0,31,31,0.005564968585968017,1.9134968500856075e-05,0.004374353495187154,2018.16,2384792.9344,1544.2774797295983,0.26058576583862303,0.0017170856315393392,0.0414377319787092,100000.0,234580000.0,15316.004700965588
Model-free Dijkstra,True,False,0.001919722557067871,7.556379688367086e-07,0.0008692743921436479,238.0,0.0,0.0,3615.0,0.0,0.0,836.0,0.0,0.0,1.0,31,31,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.010266504287719726,8.326033090725105e-07,0.0009124709908114945,20.0,0.0,0.0,23059.0,0.0,0.0,20280.0,0.0,0.0,1.0,31,31,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.015593838691711426,1.7935686850023557e-06,0.001339241832158164,33.0,0.0,0.0,36241.0,0.0,0.0,33462.0,0.0,0.0,1.0,31,31,,,,,,,,,,,,
