Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.9)",True,0.05567320187886556,5.947374060926651e-05,0.0077119219789405615,522.0,2400.6666666666665,48.99659852139398,14707.333333333334,1590238.8888888888,1261.046743340186,14666.666666666666,1555555.5555555557,1247.2191289246473,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.9)",True,0.06966749827067058,9.084785553012705e-05,0.009531414141150675,599.3333333333334,3558.222222222222,59.65083588871343,17679.0,4241804.666666667,2059.5641933833153,17666.666666666668,4222222.222222222,2054.8046676563254,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.9)",True,0.06531866391499837,4.023981896100142e-05,0.006343486341200824,630.0,748.6666666666666,27.36177382164151,17686.0,885794.0,941.1662977391403,17666.666666666668,888888.8888888889,942.8090415820634,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.9)",True,197.243469953537,0.7658108126585148,0.8751061722205568,999999.0,0.0,0.0,49948723.666666664,2950568187.5555553,54319.13279458312,0.0,0.0,0.0,6,19
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.9)",True,150.43103019396463,1.178973064235581,1.0858052607330566,999999.0,0.0,0.0,38571917.666666664,162993562.88888887,12766.89323558746,0.0,0.0,0.0,11,17
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.9)",True,122.42086052894592,0.7595346333146532,0.8715128417382346,999999.0,0.0,0.0,31860433.0,213807482.0,14622.157227987942,0.0,0.0,0.0,6,7
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.9)",True,0.020676930745442707,2.417925715134414e-05,0.004917240806727299,176.33333333333334,1379.5555555555554,37.14236873915765,5346.333333333333,1536963.5555555553,1239.743342613928,5333.333333333333,1555555.5555555557,1247.2191289246473,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.9)",True,0.022009770075480144,1.8031341685147912e-05,0.00424633273368302,193.66666666666666,1784.222222222222,42.240054713769275,5684.333333333333,1595688.222222222,1263.205534433024,5666.666666666667,1555555.5555555557,1247.2191289246473,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.9)",True,0.01998591423034668,1.3879073662792507e-05,0.003725462878998059,169.66666666666666,864.8888888888888,29.4089933334837,4706.0,935808.0,967.3716969190281,4666.666666666667,888888.888888889,942.8090415820634,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",True,204.74272100130716,0.41941010958401465,0.6476187995912523,999999.0,0.0,0.0,51706391.666666664,784956309.5555555,28017.07175197928,0.0,0.0,0.0,8,29
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",True,155.8549727598826,0.45980290108204575,0.6780876794943599,999999.0,0.0,0.0,39553673.0,625063208.6666666,25001.264141372263,0.0,0.0,0.0,7,13
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",True,109.57224154472351,461.04341525087375,21.471921554692624,879612.3333333334,28985899022.222225,170252.45672888902,28159709.0,29804505357044.668,5459350.2687631855,6813000.0,92833938000000.0,9635037.000447897,6,8
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",True,0.01665385564168294,1.3445389653396785e-05,0.003666795556531177,138.66666666666666,622.2222222222223,24.944382578492945,4021.0,656708.6666666666,810.3756330657201,4000.0,666666.6666666666,816.496580927726,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",True,0.014347712198893229,3.349412192063836e-05,0.005787410640402006,112.66666666666667,1414.222222222222,37.606146069787876,3362.3333333333335,1532014.2222222222,1237.745620966692,3333.3333333333335,1555555.5555555553,1247.219128924647,6,6
