Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.01, gamma = 1,epsilon = 0.9)",TRUE,0.004185302,2.3524669201441386e-05,0.004850224,16.19,6.2939,2.508764636,1060.21,3584.6859000000004,59.87224649200997,1000,0,0,8,1583
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.01, gamma = 1,epsilon = 0.9)",TRUE,0.005164578,2.445541575490893e-05,0.004945242,18.68,7.1376,2.671628716719447,1044.4,1884.4999999999998,43.410828142296474,1000,0,0,6,6029
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.01, gamma = 1,epsilon = 0.9)",FALSE,0.010715539455413819,0.000769487,0.027739622,21.95,8.8075,2.9677432503503396,1028.23,701.9771,26.494850443057796,1000,0,0,6,100002
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1,epsilon = 0.9)",FALSE,0.087502594,0.009626327,0.098113847,22.78,7.031600000000001,2.6517164252611933,1028.63,838.4530999999998,28.956054634566495,1000,0,0,6,100002
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1,epsilon = 0.9)",FALSE,0.091261165,0.009797661,0.098983137,23.02,7.239600000000001,2.690650479,1027.81,867.9539000000001,29.461057346945307,1000,0,0,6,100002
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.01, gamma = 1,epsilon = 0.9)",FALSE,0.1718576192855835,0.009564867,0.097800141,23.14,7.180399999999997,2.679626839692422,1033.25,936.0475,30.59489336474308,1000,0,0,6,100002
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.02, gamma = 1,epsilon = 0.9)",TRUE,0.005801868,2.020037421743836e-05,0.004494483,16.66,10.8244,3.2900455923892604,1045.07,1735.8850999999997,41.66395444505958,1000,0,0,8,1307
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.02, gamma = 1,epsilon = 0.9)",TRUE,0.0032002,1.8892332429794576e-05,0.004346531,19.85,10.3475,3.2167530212933664,1038.9,1160.71,34.06919429631408,1000,0,0,7,7481
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.02, gamma = 1,epsilon = 0.9)",FALSE,0.008008974,0.000555462,0.023568245832455374,21.57,8.145100000000001,2.8539621581233345,1029.21,518.7459000000001,22.775993940989714,1000,0,0,6,100002
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1,epsilon = 0.9)",FALSE,0.050471818447113036,0.006421448,0.080133939,24.07,9.025100000000002,3.0041804206804894,1028.04,489.9184,22.13410038831486,1000,0,0,6,100002
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1,epsilon = 0.9)",FALSE,0.037591021,0.003881615,0.062302606,23.96,9.378400000000001,3.062417345823394,1028.51,649.7099,25.489407603944034,1000,0,0,6,100002
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.02, gamma = 1,epsilon = 0.9)",FALSE,0.1367533802986145,0.011362106,0.10659318032402551,24.45,7.7675,2.7870235018743563,1029.63,785.2130999999998,28.021654126764176,1000,0,0,6,100002
