Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.5)",TRUE,0.004846914,1.199727745705559e-06,0.001095321,16.47,8.6491,2.940935225400247,1043.05,1488.2475,38.577810979888426,1000,0,0,6,1571
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.5)",TRUE,0.006153443,1.4891455613332029e-05,0.003858945,20.23,8.6171,2.9354897376758107,1032.39,853.2179000000001,29.209893871768863,1000,0,0,8,10945
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.5)",FALSE,0.025793344974517823,0.002970881,0.054505792,23.84,3.0144,1.7362027531368565,1029.7,685.43,26.180718095575607,1000,0,0,8,100002
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.5)",FALSE,0.13043901920318604,0.010648376089268935,0.10319096902960517,25.66,0.9044000000000001,0.9509994742374993,1026.59,346.42190000000005,18.61241252497913,1000,0,0,8,100002
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.5)",FALSE,0.14101741790771485,0.010947860718159376,0.10463202529894648,25.57,0.6051,0.7778817390837761,1021.74,373.11240000000004,19.316117622338087,1000,0,0,8,100002
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.5)",FALSE,0.2008727025985718,0.004833388,0.069522574,25.5,0.79,0.8888194417315589,1018.13,259.6331,16.11313439402775,1000,0,0,7196,100002
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.5)",TRUE,0.004995556,1.1291005845123435e-06,0.001062591,16.87,8.513100000000001,2.9177217139405194,1039.44,1199.5264,34.63417964958893,1000,0,0,6,1690
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.5)",TRUE,0.007116127,0.000160731,0.012677978674866617,21.01,8.3899,2.896532409623618,1030.98,812.7596000000001,28.508938949038424,1000,0,0,7,41539
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.5)",FALSE,0.017698481,0.002379436,0.048779460503180716,26.19,3.7739,1.942652825391094,1018.66,260.7644,16.148201138207316,1000,0,0,8,100002
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.5)",FALSE,0.091766329,0.009844535,0.09921963,29,0.86,0.9273618495495703,1015.32,170.0776,13.041380295045458,1000,0,0,8,100002
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.5)",FALSE,0.11789371013641357,0.011162035536720873,0.10565053495709746,28.96,0.5983999999999999,0.7735631842325486,1014.23,168.7371,12.98988452604564,1000,0,0,8,100002
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.5)",FALSE,0.18019845724105835,0.008258414,0.090875818,28.92,0.7935999999999999,0.8908422980528035,1015.43,175.9851,13.265937584656427,1000,0,0,8,100002
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.5)",TRUE,0.10598087549209595,2.021945541798118e-05,0.004496605,999,0,0,25537.27,227544.8171,477.0165794812587,70000,0,0,6,49
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.5)",TRUE,0.068818808,7.417222974481774e-06,0.002723458,999,0,0,16860.35,86564.10750000001,294.21778923103886,70000,0,0,6,26
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.5)",TRUE,0.05064853,9.031781992297284e-06,0.003005292,992.46,1448.7083999999998,38.061902212054505,12559.44,250806.40639999998,500.80575715540647,430,4505100,2122.5220846907578,6,11
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.5)",TRUE,0.044574108123779294,1.536478593779975e-05,0.003919794,978.59,5971.1019000000015,77.27290534204083,11018.35,688370.1875000001,829.6807744548503,1020,8699600,2949.508433620762,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.5)",TRUE,0.04521733,1.073562844437106e-05,0.003276527,992.37,1113.8731000000005,33.374737452150846,11173.33,178067.86109999995,421.9808776,710,6765900,2601.1343679248866,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.5)",TRUE,0.04472971,1.7776159253344304e-05,0.004216178,976.06,6448.816400000002,80.30452291122837,11039.03,707667.6291000001,841.2298313184098,1010,8509900,2917.1732893333574,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.5)",TRUE,0.10548986911773682,2.3292008696876105e-05,0.00482618,999,0,0,25409.46,309807.0884,556.6031695921251,70000,0,0,6,44
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.5)",TRUE,0.068592038,1.161348928578718e-05,0.003407857,999,0,0,16509.44,80853.2464,284.3470527366162,70000,0,0,6,22
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.5)",TRUE,0.050539715,6.057664309372511e-06,0.002461232,996.44,323.54639999999995,17.987395586910296,12295.12,73401.1856,270.9265317387723,220,2371600,1540,6,12
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.5)",TRUE,0.043748574256896974,6.268560049852567e-06,0.002503709,991.45,1264.4075000000003,35.55850812393569,10772.58,175069.5236,418.41310161131423,570,5125100,2263.8683707318323,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.5)",TRUE,0.043950384,5.765143092565948e-06,0.002401071,996.05,260.36749999999984,16.13590716383804,10846.72,66183.6616,257.26185414864756,410,4041900,2010.4477113319808,6,7
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.5)",TRUE,0.043850493431091306,4.889987914680205e-06,0.002211332,996.21,254.0258999999999,15.938189985064172,10890.45,57215.6275,239.1978836,300,2910000,1705.872210923198,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.5)",TRUE,0.11714768409729004,2.0456463851132866e-05,0.004522882,999,0,0,28320.89,374020.4179,611.5720872472843,70000,0,0,6,131
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.5)",TRUE,0.06904835,1.0025660553600346e-05,0.003166332,999,0,0,16857.22,87557.43159999998,295.90105035298535,70000,0,0,6,25
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.5)",TRUE,0.049573743,6.447041957216015e-06,0.002539103,999,0,0,12122.28,41686.3016,204.1722351349468,70000,0,0,6,12
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.5)",TRUE,0.036035103797912596,7.702868355338524e-05,0.008776599,835.4,41974.86,204.8776708184667,8925.25,4725301.588,2173.775882537112,3580,14423600,3797.841492216335,6,8
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.5)",TRUE,0.037993453,5.612173476503698e-05,0.007491444,880.93,31027.4851,176.14620376266984,9414.86,3432914.7203999995,1852.8126511873777,3130,15313100,3913.1956250614408,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.5)",TRUE,0.041702437400817874,6.583052394432799e-05,0.008113601,927.79,28844.325899999993,169.83617370866548,10221.93,3618030.1451000003,1902.1120222268719,1520,9909600,3147.9517150045363,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",TRUE,0.12995572805404662,1.9628891738028643e-05,0.004430451,999,0,0,31763.75,462707.7475,680.2262472883563,70000,0,0,7,78
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",TRUE,0.073810735,1.0387175238088277e-05,0.003222914,999,0,0,18011.82,103632.90759999998,321.92065419913644,70000,0,0,6,22
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",TRUE,0.050041347,1.1059207499533842e-05,0.003325539,999,0,0,12133.03,34529.6491,185.82155176405132,70000,0,0,6,11
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",TRUE,0.030804197788238525,0.000151067,0.012290941202380496,705.84,77438.8144,278.2783038614401,7580.08,8903191.433600001,2983.8216155795913,3600,10620000,3258.834147360065,6,7
