Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,9.979451513290405,0.5124906488439126,0.7158845220033134,49999.0,0.0,0.0,2356424.6,68667357.60000001,8286.576953121235,0.0,0.0,0.0,6,78
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,8.18145192861557,1.2772808859101625,1.13016852102249,49999.0,0.0,0.0,1868237.19,36150496.8739,6012.528326245124,0.0,0.0,0.0,6,21
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,6.936590688228607,0.7033252413711787,0.8386448839474183,49999.0,0.0,0.0,1552823.99,34025289.30989999,5833.120032186891,0.0,0.0,0.0,6,13
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,0.7256521487236023,0.008198324369118716,0.09054459878490112,6193.43,182713.42509999993,427.4499094630854,180051.76,170381170.8024,13053.01385896759,180030.0,170329100.0,13051.019117295016,6,7
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,0.7280140137672424,0.010839438045824285,0.10411262193329052,6192.52,212080.28960000002,460.52175800932577,179811.36,194460493.6904,13944.909239231354,179790.0,194385900.0,13942.23439768533,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,0.6918427586555481,0.011932167133938238,0.1092344594619218,5686.35,199709.4275,446.88860748513156,162238.7,186081576.59000003,13641.172112029084,162220.0,186151600.0,13643.738490604399,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,9.892438623905182,0.3835382517485412,0.6193046518059921,49999.0,0.0,0.0,2361188.66,59936651.0644,7741.8764562862925,0.0,0.0,0.0,6,33
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,7.853738806247711,0.4755228490092829,0.6895816478193738,49999.0,0.0,0.0,1872522.18,49896886.36760001,7063.772813985456,0.0,0.0,0.0,6,20
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,6.803028407096863,0.5090155101587909,0.7134532291319389,49999.0,0.0,0.0,1559216.85,34615032.2875,5883.454111956683,0.0,0.0,0.0,6,13
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,0.4038492584228516,0.006848938740979884,0.08275831523768402,3071.43,96396.54510000002,310.4779301335282,89270.93,92742574.2251,9630.294607388707,89250.0,92787500.0,9632.62684837319,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,0.4101624155044556,0.006914100472615724,0.08315107018322569,3044.9,79165.07,281.36287957013803,88403.69,73825107.41389999,8592.15382857523,88380.0,73755600.0,8588.108057075202,6,8
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,0.330981867313385,0.004156310841642898,0.06446945665695421,2851.37,61458.5531,247.9083562528702,81204.88,53841543.965600014,7337.67973991779,81180.0,53867600.0,7339.455020640156,6,8
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",True,10.26053273677826,1.070246617988816,1.034527243715126,49999.0,0.0,0.0,2371475.02,59594692.5396,7719.759875773339,0.0,0.0,0.0,6,41
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",True,7.935123028755188,0.749164643479192,0.8655429761018179,49999.0,0.0,0.0,1883039.61,39955263.57789999,6321.01760620076,0.0,0.0,0.0,6,20
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",True,6.33070036649704,0.3430327486727307,0.5856899765855061,49999.0,0.0,0.0,1573017.85,26796946.847500004,5176.576749889835,0.0,0.0,0.0,6,12
