Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.9)",TRUE,1.0739813017845155,0.029151203951326185,0.17073723656931486,4999,0,0,249810.02,6425546.7996000005,2534.866229133206,100000,0,0,7,59
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.9)",TRUE,0.7893414092063904,0.017209218898317495,0.13118391249813177,4999,0,0,192887.95,3578379.7674999996,1891.6605846451419,100000,0,0,6,55
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.9)",TRUE,0.739871175,0.022947965,0.15148585704442982,4999,0,0,159411.86,2386915.3,1544.9644981034355,100000,0,0,6,11
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.9)",TRUE,0.024159756,8.292714699396127e-05,0.009106434,202.58,2769.8235999999997,52.62911361594455,5918.16,2476293.214,1573.6242290966418,5900,2470000,1571.6233645501711,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.9)",TRUE,0.023792889,7.15348382765285e-05,0.008457827,215.83,3963.921100000001,62.95967836639575,6329.55,3669437.528,1915.5775963139681,6310,3673900,1916.7420275039622,6,8
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.9)",TRUE,0.026824848651885988,9.982498862456735e-05,0.009991246,204.55,3175.4475,56.351109128392494,5899.19,2390044.534,1545.9768865995377,5880,2385600,1544.538766104626,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",TRUE,1.1156329488754273,0.034223922996715846,0.18499708915741309,4999,0,0,258254.89,8195818.458,2862.833990628866,100000,0,0,6,323
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",TRUE,0.8745439910888672,0.028770048758148644,0.16961735983721904,4999,0,0,198147.32,3944847.738,1986.164076203172,100000,0,0,6,57
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",TRUE,0.7082133865356446,0.019712342019742122,0.14040064821695847,4999,0,0,160107.84,2465783.054,1570.2812023328815,100000,0,0,6,15
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",TRUE,0.01821866,9.510899348583736e-05,0.009752384,130.39,2362.2778999999996,48.60327046609106,3821.61,2119583.398,1455.8789090786363,3800,2120000,1456.0219778561036,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",TRUE,0.015500071048736573,6.617430431730895e-05,0.008134759,136.76,3456.7624,58.79423781290136,4014.84,3227348.654,1796.4823000519655,3990,3229900,1797.1922546016049,6,7
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",TRUE,0.014564449787139893,4.182521992431133e-05,0.006467242,119.21,1423.5259000000003,37.72964219284355,3478.66,1286724.164,1134.3386462604542,3460,1288400,1135.0770898930168,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.9)",TRUE,1.2224895977973937,0.049037529175621444,0.2214441897535843,4999,0,0,266078.27,7361870.037,2713.276623770603,100000,0,0,7,137
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.9)",TRUE,0.9291265320777893,0.034834768,0.18664074703365258,4999,0,0,203386.6,5756906.18,2399.355367593554,100000,0,0,6,105
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.9)",TRUE,0.6100534558296203,0.00127833,0.035753747,4999,0,0,161704.11,2753252.898,1659.292890932761,100000,0,0,6,68
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.9)",TRUE,0.010365829467773438,2.192090638950504e-05,0.004681977,87.11,901.4178999999999,30.02362236639676,2632.35,777090.4275,881.5273265758697,2610,777900,881.9863945,6,7
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.9)",TRUE,0.010610702,2.722523561998855e-05,0.005217781,91.46,1228.1683999999998,35.04523362741358,2742.02,1194299.0795999998,1092.8399149006225,2720,1181600,1087.0142593360954,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.9)",TRUE,0.010989473,4.3823896488328265e-05,0.006619962,90.96,1829.4984,42.772636112355755,2741.86,1661379.48,1288.9451037185408,2720,1661600,1289.0306435457614,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.9)",TRUE,1.0679313111305238,0.011430182325365483,0.10691203077935375,4999,0,0,271033.61,6585509.138,2566.2246857787027,100000,0,0,6,271
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.9)",TRUE,0.8231347966194152,0.012343686,0.11110214213821847,4999,0,0,208022.09,6037834.801899999,2457.200602698119,100000,0,0,6,164
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.9)",TRUE,0.5603659963607788,0.04178781,0.20442066959578548,4191.72,1932126.3015999997,1390.0094609749963,136443.99,2049735743,45274.00736327523,24150,1806987500,42508.67559,6,252
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.9)",TRUE,0.009519951,2.6240134513108157e-05,0.005122513,78.34,1115.6444000000001,33.40126344915713,2420.74,1090381.992,1044.2135760465865,2400,1080000,1039.2304845413264,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.9)",TRUE,0.008801405,2.427912360173537e-05,0.004927385,74.22,1021.0316000000001,31.95358508837467,2263.52,1026790.6495999999,1013.3067894769085,2240,1022400,1011.1379727811631,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.9)",TRUE,0.008493207,2.5933813859745666e-05,0.005092525,71.18,1327.8676,36.43991767279394,2222.8,1325249.46,1151.1947967220838,2200,1320000,1148.9125293076058,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.9)",TRUE,1.0863558459281921,0.019625189896710315,0.14008993503000247,4999,0,0,272133.5,5704570.51,2388.424273,100000,0,0,8,574
