Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.99)",TRUE,0.041023257,0.000151888,0.012324301349114164,243.41,5043.4819,71.01747602,10526.65,9518683.108,3085.2363130723065,10490,9529900,3087.053611455428,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.99)",TRUE,0.24143859386444091,0.000269355,0.016412044903697937,999,0,0,59583.43,2905552.705,1704.5681872838059,70000,0,0,6,55
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.99)",TRUE,0.20803860187530518,0.000173241,0.013162106175374538,999,0,0,51883.14,1260824.6,1122.8644621680749,70000,0,0,6,20
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.99)",TRUE,0.18303473472595214,0.000430534,0.020749308234289394,999,0,0,45699.27,845418.9570999999,919.4666699233854,70000,0,0,6,12
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.99)",TRUE,0.022726555,5.132900872204118e-05,0.007164427,134.54,1656.8684000000003,40.70464838320066,5889.42,3162307.9835999995,1778.2879360778443,5850,3167500,1779.7471730557686,6,7
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.99)",TRUE,0.02562089,5.484126971168733e-05,0.007405489,150.79,1825.6458999999998,42.72757774552636,6556.98,3275095.18,1809.7224040167043,6520,3229600,1797.108789138821,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.99)",TRUE,0.023305128,5.663334555981123e-05,0.007525513,139.87,2009.5530999999996,44.82803921654392,6060.15,3678370.108,1917.907742176354,6020,3659600,1913.0081024397152,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.99)",TRUE,0.23721659421920777,6.728559582654156e-05,0.00820278,999,0,0,59699.01,2476363.01,1573.6464056134084,70000,0,0,6,738
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.99)",TRUE,0.20347220182418824,4.53766642782e-05,0.00673622,999,0,0,52045.52,1828931.4695999997,1352.3799279788204,70000,0,0,6,36
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.99)",TRUE,0.18073737382888794,6.865045877986517e-05,0.008285557,999,0,0,45796.62,1156058.136,1075.2014395451672,70000,0,0,6,26
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.99)",TRUE,0.017623322010040285,3.501332926504688e-05,0.005917206,105.07,1143.8850999999997,33.821370463066685,4539.3,2246203.6499999994,1498.7340157613023,4500,2250000,1500,6,8
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.99)",TRUE,0.017731013298034667,4.514571335064375e-05,0.006719056,103.85,1375.1675,37.083250936238045,4540.08,2658697.3936000005,1630.5512545148651,4510,2669900,1633.9828640472335,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.99)",TRUE,0.017000393867492677,3.5233043934545095e-05,0.005935743,97.75,1187.3475,34.45790910661876,4338.74,2146280.852,1465.0190621285444,4300,2150000,1466.287829861518,6,7
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.99)",TRUE,0.24115729808807373,0.000103543,0.010175598702370916,999,0,0,59772.83,2111626.881,1453.1437922999912,70000,0,0,6,126
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.99)",TRUE,0.20585065126419066,7.356440099931091e-05,0.008576969,999,0,0,52071.11,1646987.9578999998,1283.3502865157275,70000,0,0,6,51
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.99)",TRUE,0.17825021743774414,3.794766305986741e-05,0.006160167,999,0,0,45989.57,1177900.7051000001,1085.3113401692622,70000,0,0,6,32
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.99)",TRUE,0.013898861408233643,3.293411942237867e-05,0.005738826,80.86,1071.4003999999998,32.73225321,3592.53,2082481.369,1443.0805137274913,3560,2066400,1437.4978260853127,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.99)",TRUE,0.013983409404754638,2.1455672173323136e-05,0.004632027,80.77,684.4371000000001,26.16174879475759,3493.65,1201419.5675000001,1096.0928644508183,3460,1208400,1099.2724866929036,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.99)",TRUE,0.013391292095184327,2.726054408341838e-05,0.005221163,77.22,895.1716,29.91941844354599,3370.76,1695945.0424000002,1302.284547,3330,1701100,1304.2622435691374,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.99)",TRUE,0.2406069231033325,7.657259048435207e-05,0.008750577,999,0,0,60108.16,2314424.274,1521.3231985347493,70000,0,0,6,369
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.99)",TRUE,0.20547837018966675,7.104361543994742e-05,0.008428737,999,0,0,52199.93,1704319.3851000003,1305.4958387907639,70000,0,0,6,83
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.99)",TRUE,0.17504653930664063,0.000524689,0.022906089943111104,970.75,15241.0075,123.4544754,44704.79,34351369.87,5861.004168732522,1890,57237900,7565.573342450657,6,32
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.99)",TRUE,0.010822155475616456,2.1867642178784764e-05,0.004676285,62.08,729.3936000000001,27.007287905304377,2765.89,1326551.698,1151.7602606011374,2730,1337100,1156.3304026099115,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.99)",TRUE,0.010968759059906005,2.5714973630437044e-05,0.005070993,62.61,814.1579,28.533452297259792,2757.43,1602067.785,1265.7281639830885,2720,1601600,1265.543362,6,8
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.99)",TRUE,0.009501839,1.792907127082799e-05,0.004234273,54.18,598.6876,24.468093509711785,2414.52,1126994.81,1061.6001175583958,2380,1135600,1065.6453443805776,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.99)",TRUE,0.2397126293182373,6.602680333630814e-05,0.008125688,999,0,0,59988.33,1996557.701,1412.9960017990143,70000,0,0,8,230
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.99)",TRUE,0.20630207538604736,4.711647376414022e-05,0.006864144,999,0,0,52275.11,1497003.898,1223.5211064382993,70000,0,0,6,266
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.99)",TRUE,0.092155337,0.003779796,0.061480043,518.76,121205.7424,348.14615091940914,23681.77,247374162.47709996,15728.132835053879,13670,167081100,12925.985455662558,6,22
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.99)",TRUE,0.007776086,1.3391199461074166e-05,0.003659399,44.77,439.0371,20.95321216424823,1995.13,872173.4531,933.9022717072703,1970,869100,932.2553298319083,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.99)",TRUE,0.008156669,1.3105595120777027e-05,0.003620165,46.07,394.86510000000004,19.87121284672881,2049.45,755941.6675000001,869.4490597499085,2020,759600,871.5503428,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.99)",TRUE,0.008038471,1.4500524502290096e-05,0.003807955,46.74,461.8724,21.491216810594974,2082.45,908463.0475000001,953.1332789804372,2050,907500,952.6279441628825,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.999, gamma = 1, epsilon = 0.99)",TRUE,0.24022054433822632,7.836193462423467e-05,0.008852228,999,0,0,60079.81,2494381.6339000002,1579.3611473947308,70000,0,0,8,270
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.999, gamma = 1, epsilon = 0.99)",TRUE,0.20686911582946776,7.682950842072386e-05,0.008765244,999,0,0,52218.96,1737989.3183999998,1318.3282286289707,70000,0,0,6,136
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.999, gamma = 1, epsilon = 0.99)",TRUE,0.093164949,0.003264738,0.05713789,518.72,98065.4016,313.15395830166347,23757.12,207554310.68559998,14406.745318967778,14570,138725100,11778.162,6,15
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.999, gamma = 1, epsilon = 0.99)",TRUE,0.008201885,1.1084081166927718e-05,0.003329276,46.5,329.67,18.156816901648813,2061,630421.08,793.9906044784157,2030,629100,793.1582439841371,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.999, gamma = 1, epsilon = 0.99)",TRUE,0.008399458,2.0528791739343436e-05,0.004530871,46.84,637.4344,25.247463238907784,2125.06,1299468.6364000002,1139.9423829299444,2080,1293600,1137.3653766490345,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.999, gamma = 1, epsilon = 0.99)",TRUE,0.008668051,1.46227773215287e-05,0.003823974,48.86,415.5604000000001,20.385298624253707,2208.19,848139.6139000001,920.9449570414076,2160,854400,924.3376006633074,6,6
