Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.01599839687347412,4.6229636177486107e-08,0.00021501078153777803,999.0,0.0,0.0,5094.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,0.00013931512832641603,8.431078413195793e-12,2.9036319348698093e-06,43.0,0.0,0.0,0.0032360029220581056,8.27715505238302e-09,9.097887146136196e-05,1000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.020149986743927,2.6494311930554206e-05,0.005147262566700304,892.05,54454.3675,233.35459605501666,6466.89,2751676.4779000003,1658.8177952686667,4307.692307692308,4289940.8284023665,2071.217233513271,0.26,6,6,0.00016919612884521484,8.032000323510145e-10,2.8340783905019537e-05,51.94,84.51639999999998,9.193280154547667,0.0032093119621276855,6.819312318384618e-10,2.611381304670886e-05,1000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.013060007095336914,6.054790846919786e-05,0.007781253656654425,371.89,52287.7379,228.6651217391931,4306.35,6658281.2075,2580.364549341817,4153.061224489796,5721470.220741357,2391.9594939591593,0.98,6,6,0.00018610477447509767,2.885543813135882e-09,5.371725805675381e-05,59.12,323.42560000000003,17.984037366509224,0.0031151556968688964,4.0159090417546394e-10,2.0039733136333525e-05,1000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.006279234886169434,1.0669173008159305e-05,0.003266370004785022,97.39,3036.4179,55.103701327587785,2127.41,1258070.3018999996,1121.6373308248972,2110.0,1257900.0,1121.5614116043757,1.0,6,6,0.00018437862396240235,6.850458726148643e-09,8.276749800585157e-05,60.12,811.7056,28.49044752193268,0.003017725944519043,5.768272558270837e-10,2.4017228312756735e-05,1000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.005097358226776123,6.115100246296377e-06,0.0024728728730560286,49.9,647.1899999999999,25.439929245184626,1760.28,753410.5616000001,867.9922589516568,1730.0,757100.0,870.1149349367588,1.0,6,6,0.00016611576080322266,1.0566096329966968e-08,0.00010279151876476468,54.92,1298.0736,36.028788489206796,0.002956142425537109,3.9479336919612247e-10,1.986940787230768e-05,1000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.004578034877777099,4.004685258740893e-06,0.0020011709718914306,34.91,239.50189999999998,15.47584892663404,1655.85,543049.6874999999,736.9190508461563,1620.0,535600.0,731.8469785412794,1.0,6,6,0.00011829614639282227,7.2580576841119165e-09,8.51942350403589e-05,40.56,967.3264000000001,31.10187132633662,0.0028214502334594728,2.2827518932899697e-10,1.510877855185511e-05,1000.0,0.0,0.0
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.005907022953033447,5.998032310543523e-06,0.0024490880569190488,43.02,372.4596000000001,19.29921241916364,2022.04,732757.4584000002,856.0125340203847,1980.0,739600.0,860.0,1.0,6,6,0.00013593673706054687,9.262944013244125e-09,9.624418950380395e-05,43.66,1046.3244,32.34693803128822,0.0029902267456054688,1.2483888758652028e-08,0.00011173132398146917,1000.0,0.0,0.0
Model-free Dijkstra,True,False,8.246898651123046e-05,7.263969337145681e-10,2.6951751960022342e-05,11.0,0.0,0.0,119.0,0.0,0.0,28.0,0.0,0.0,1.0,6,6,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.0002450275421142578,3.3142077882075683e-11,5.7569156570229235e-06,6.0,0.0,0.0,319.0,0.0,0.0,228.0,0.0,0.0,1.0,6,6,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.00027411937713623047,4.190453637420432e-11,6.473371329856207e-06,7.0,0.0,0.0,357.0,0.0,0.0,266.0,0.0,0.0,1.0,6,6,,,,,,,,,,,,
