Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.15124886274337768,1.12916909043804e-05,0.0033603111320799446,999.0,0.0,0.0,46110.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32,0.004449398517608643,6.60537496685265e-08,0.0002570092404341262,1325.0,0.0,0.0,0.07236222267150878,4.609564128622879e-06,0.0021469895501894922,22000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.19839895963668824,4.691912535434995e-06,0.0021660823011684007,999.0,0.0,0.0,60374.14,99485.8804,315.4138240470763,0.0,0.0,0.0,0.0,32,32,0.014735419750213623,1.3865649033340334e-05,0.0037236607033053286,4472.66,1288145.2844,1134.9648824523163,0.08694959878921509,4.456788973783432e-06,0.002111110838820035,26480.0,289600.0,538.1449618829485
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.28498273372650146,2.8210561820947074e-05,0.0053113615788182855,999.0,0.0,0.0,88913.29,421544.58589999995,649.264650123507,0.0,0.0,0.0,0.0,32,32,0.017707774639129637,1.860229419809798e-05,0.004313037699591551,5566.34,1817411.2043999997,1348.1139434038948,0.10810518026351928,1.514058526879012e-05,0.003891090498663597,33890.0,1077900.0,1038.2196299434913
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.5788885188102723,6.805569958175398e-05,0.008249587843144284,999.0,0.0,0.0,186567.68,5796967.157599999,2407.689173792996,0.0,0.0,0.0,0.0,32,32,0.020316338539123534,3.6952210222693794e-05,0.006078832965520092,6607.78,3930524.1516000004,1982.5549555056477,0.15199691772460938,8.050438156951713e-05,0.008972423394463568,49330.0,8741100.0,2956.5351342407553
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.3679810190200805,0.08265972636588073,0.28750604579013767,836.59,34960.8619,186.97823910819142,451724.64,8971160153.8904,94716.20850673025,392620.6896551724,7153304399.524375,84577.20969341786,0.58,32,32,0.016844768524169922,9.626511108044725e-05,0.009811478536920276,5610.92,10726515.9936,3275.136026732325,0.20959611654281615,0.0002756426898930101,0.016602490472607118,69800.0,30240000.0,5499.090833947008
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.8028888654708862,0.036242700120181985,0.19037515625780058,142.97,1169.3291,34.19545437627639,278558.36,4344076875.5304,65909.61140478982,278090.0,4343381900.0,65904.33900738251,1.0,32,32,0.008450815677642822,7.351393625446575e-05,0.008574026840083121,2930.42,8918767.9436,2986.4306359934094,0.35807782888412476,0.004917188044260974,0.07012266426955677,124770.0,594057100.0,24373.28660644682
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.818790991306305,0.07012180626600077,0.2648052232604198,142.36,1915.7704000000003,43.7695145049611,277054.33,7900622097.8611,88885.44367814732,276550.0,7911607500.0,88947.21749442194,1.0,32,32,0.007616579532623291,5.2646189149498924e-05,0.007255769369922043,2578.12,6058662.105599999,2461.43496879361,0.36466073513031005,0.003938988963374163,0.06276136521279761,124020.0,458539600.0,21413.537774034445
Model-free Dijkstra,True,False,0.0020673584938049314,2.2328497795456325e-07,0.0004725303989740377,243.0,0.0,0.0,3663.0,0.0,0.0,846.0,0.0,0.0,1.0,32,32,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.01690175533294678,2.1658052617112845e-07,0.00046538212919183786,21.0,0.0,0.0,24447.0,0.0,0.0,21630.0,0.0,0.0,1.0,32,32,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.025745131969451905,2.2367471057691541e-07,0.0004729426081216572,34.0,0.0,0.0,37837.0,0.0,0.0,35020.0,0.0,0.0,1.0,32,32,,,,,,,,,,,,
